AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
21.8,26.7,17.2,1014.8,61,0,15.9,13.3,22.2,27.8,nan,nan,nan,11.45
21.2,26.1,17.2,1005.1,70,20.83,12.7,19.1,25.9,37,nan,1,nan,5.0
20.8,25,16.7,1016.3,73,2.03,11.7,14.6,35.2,42.4,nan,1,nan,7.899999999999999
23.4,30,18.9,1009.7,72,41.15,14.3,14.4,20.6,nan,nan,nan,nan,11.392857142857142
23.9,30,19.4,1007.7,61,0.76,14.6,23.2,33.5,50,nan,nan,nan,11.0
15.6,24.4,12.2,1013.3,60,nan,16.1,17.2,24.1,29.4,nan,nan,nan,12.75
12.9,18.3,11.7,1013.0,83,2.03,14.2,26.7,42.4,51.9,nan,nan,nan,26.071428571428577
14.5,22,10,1018.2,69,9.14,16.1,12.8,24.1,nan,nan,nan,nan,6.550000000000002
16.7,21.1,11.1,1022.8,84,0,15.6,7.8,18.3,nan,nan,nan,nan,12.75
17.2,21.1,12.8,1016.0,88,0,13.8,9.6,13,nan,nan,nan,nan,16.278571428571432
21.4,29.4,14.4,1010.1,73,0.76,12.7,11.5,24.1,35.2,nan,nan,nan,16.6
14.8,18.3,12,1015.7,62,0.76,16.1,19.8,31.3,nan,nan,nan,nan,11.0
10.2,13.9,7,1020.5,55,0,16.1,20.6,31.3,nan,nan,nan,nan,11.364285714285712
8.3,12.8,5.6,1020.6,60,0,16.1,19.1,25.9,37,nan,nan,nan,12.5
18.4,24,14,1021.7,44,0,16.1,13.5,22.2,nan,nan,nan,nan,8.75
20.7,26.7,13.3,1018.5,44,0,15.6,11.1,22.2,nan,nan,nan,nan,15.838461538461544
21.8,26.7,15.6,1016.2,48,0,16.1,13.9,18.3,nan,nan,nan,nan,28.700000000000006
14.6,18.9,11.7,1015.3,68,9.65,15.6,22.2,29.4,38.9,nan,nan,nan,4.8
