Date_time,Daily_Mean_PM2.5_Concentration
2019-07-07,7.938461538461539
2019-07-08,8.095
2019-07-09,9.276923076923078
2019-07-10,13.899999999999999
2019-07-11,7.336842105263156
2019-07-12,5.183333333333334
2019-07-13,6.707692307692309
2019-07-14,7.4105263157894745
2019-07-15,3.6545454545454548
2019-07-16,9.966666666666667
2019-07-17,13.018750000000002
2019-07-18,4.37
2019-07-19,10.158333333333333
2019-07-20,12.427777777777775
2019-07-21,10.475
2019-07-22,4.375000000000001
2019-07-23,1.6000000000000003
2019-07-24,4.558333333333334
2019-07-25,7.050000000000001
2019-07-26,9.35
2019-07-27,8.566666666666666
2019-07-28,11.316666666666665
2019-07-29,15.24
2019-07-30,16.150000000000002
2019-07-31,11.363636363636365
2019-08-01,6.094444444444445
2019-08-02,7.216666666666666
2019-08-03,5.075
