,AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
156,10.2,14.4,6.7,1018.3,58.0,0.0,16.1,24.4,37.0,63.0,0.0,0.0,0.0,4.442857142857143
157,12.0,17.2,7.2,1018.0,46.0,0.0,16.1,23.5,35.2,50.0,0.0,0.0,0.0,6.25
158,14.2,19.4,8.9,1018.5,46.0,0.0,16.1,10.2,16.5,44.2945648182152,0.0,0.0,0.0,15.8
159,9.6,14.4,5.6,1017.4,63.0,0.0,16.1,13.1,16.5,44.2945648182152,0.0,0.0,0.0,16.915384615384614
160,11.0,16.0,7.0,1017.3,69.0,0.0,15.8,10.6,16.5,44.2945648182152,0.0,0.0,0.0,12.75
161,13.4,16.7,7.2,1014.2,76.0,0.0,15.4,11.1,20.6,44.2945648182152,0.0,0.0,0.0,22.85
162,7.9,11.0,6.0,1017.8,80.0,0.0,15.6,13.5,20.6,44.2945648182152,0.0,0.0,0.0,7.238461538461538
163,11.7,13.3,6.1,1011.9,95.0,3.05,11.4,12.6,29.4,44.3,0.0,0.0,0.0,12.15
164,6.3,9.4,3.0,1009.0,65.0,9.4,16.1,28.2,37.0,44.3,0.0,0.0,0.0,17.4
165,4.2,6.0,2.0,1018.9,56.0,0.0,16.1,15.7,25.9,31.3,0.0,0.0,0.0,20.80769230769231
166,3.9,7.2,1.1,1015.3,63.0,0.0,14.6,13.7,31.3,38.9,0.0,0.0,0.0,11.65
167,2.6,7.2,0.0,1012.5,66.0,1.52,15.9,24.6,35.2,51.9,0.0,0.0,0.0,7.5
168,1.4,5.0,-3.3,1030.8,63.0,0.0,16.1,12.2,18.3,44.2945648182152,0.0,0.0,0.0,20.571428571428573
169,7.6,13.0,3.0,1016.4,95.0,8.89,9.5,24.8,44.3,55.4,0.0,0.0,0.0,8.3
170,9.7,18.3,5.0,1004.5,84.0,17.02,14.3,20.4,33.5,40.7,0.0,0.0,0.0,17.75
171,3.2,6.7,1.7,1021.3,56.0,0.0,16.1,23.7,38.9,44.2945648182152,0.0,0.0,0.0,39.9076923076923
172,0.3,5.6,-2.2,1028.2,48.0,8.64,16.1,19.8,25.9,31.3,0.0,0.0,0.0,11.8
173,-1.8,2.2,-5.0,1034.0,51.0,0.0,16.1,14.4,24.1,44.2945648182152,0.0,0.0,0.0,14.05
174,-0.7,1.7,-3.3,1012.1,43.0,0.0,16.1,23.7,35.2,46.5,0.0,0.0,0.0,8.02142857142857
175,-1.4,0.0,-2.0,1016.2,62.0,0.76,13.7,13.3,22.2,33.5,1.0,0.0,0.0,15.2
176,-0.3,2.0,-2.0,1025.4,65.0,0.25,15.6,13.1,22.2,33.5,0.0,0.0,0.0,29.9
177,-2.6,1.1,-6.0,1035.0,47.0,0.0,16.1,19.1,37.0,44.2945648182152,0.0,0.0,0.0,16.015384615384615
178,2.9,10.6,-5.6,1025.6,72.0,16.51,11.9,18.1,35.2,42.4,1.0,0.0,0.0,25.85
179,3.1,10.6,-1.1,1030.5,58.0,9.91,16.1,19.6,33.5,44.3,0.0,0.0,0.0,7.65
